indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0019117016321778405,0.0013800699883642284,0.001237724920778288,0.00111779567328198,0.0010627913475787583,0.0009821968083704787,0.0008666492982406685,0.0007654532405870168,0.0004690763948001082,-0.000360932707121958,0.0022726343392997987
winRateDaily,0.5787757150025088,0.572002007024586,0.5712493728048169,0.5704967385850477,0.5702458605117913,0.564977420973407,0.5634721525338685,0.557451078775715,0.5524335173105871,0.5336176618163573,0.6542900150526844
PLRatioDaily,0.9284841352041169,0.8925848686457012,0.8783636316849889,0.8673795789124954,0.8625442016642317,0.872293302629006,0.8650378997332719,0.8754254506560579,0.8603384664792215,0.8334380259337117,1.6221420301297238
targetRet,0.5107211890073831,0.32124694854624325,0.2741780178730555,0.23718874803211687,0.22062033363866362,0.19630304963524514,0.16237989060728908,0.1332394676463302,0.052808562152899974,-0.14392822589058418,0.7549458023802287
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.3834406925005547,0.19396645203941487,0.14689752136622714,0.10990825152528849,0.09333983713183525,0.06902255312841676,0.0350993941004607,0.005958971139501834,-0.0744719343539284,-0.27120872239741256,0.6276653058734003
sigma,0.35929091660783546,0.3622430333848443,0.36429988371300515,0.3625098739547182,0.3616536945740554,0.36158850569370504,0.36124056099027796,0.36141885053096706,0.3602020904934631,0.3584987499049186,0.10140868016878687
sharpeRatio,1.4214698045507037,0.8868271269276637,0.7526162651455923,0.6542959656369101,0.6100320194392137,0.5428907350321855,0.44950625190635557,0.3686566637312516,0.1466081501097183,-0.4014748333955334,7.444587594707672
informationRatio,3.825832622982892,2.3610730739038295,1.7526982067102963,1.4092613520801396,1.2182625537865857,0.8957484900888288,0.45542989360377484,0.07501580703794727,-0.924267043071877,-3.0050135539606035,1.8054154413149845
maxDrawDown,0.7039456263572412,0.6854938401836952,0.6890709418120022,0.7032245209718236,0.6899403366858178,0.7278811203658084,0.7160507220985823,0.7232647636850786,0.7668460136548398,0.9707198393714432,0.09337142370117224
meanRetMonthly,0.04303488345905189,0.028110387123921242,0.025031891770962433,0.0225306232506711,0.021485127750877086,0.01974426357232461,0.017338071512356817,0.015287401326331527,0.009048915992063495,-0.0077876127234405585,0.04851164065605642
winRateMonthly,0.5989847715736041,0.5989847715736041,0.5685279187817259,0.5888324873096447,0.5786802030456852,0.5786802030456852,0.5583756345177665,0.5634517766497462,0.5482233502538071,0.4619289340101523,0.9137055837563451
PLRatioMonthly,1.6916926069552682,1.3873108991618435,1.4613132256928818,1.2533415302906763,1.2762857595812092,1.2238171488857006,1.2458687145860665,1.1607625215716944,1.0549699297375466,0.935572625426121,3.0306024530995206
meanTurnoverRate,0.8381804477593876,0.8867746543535064,0.8945328744139808,0.8971951212722321,0.8981130907467572,0.8983120878214905,0.8971791781384224,0.8943708370933066,0.8904284111625625,0.8728079671012126,0.0
